type_0_packet_per_IPPair,type_3_packet_per_IPPair,type_8_packet_per_IPPair,src_ip_amount,type_0_payload_len_percentile_0,type_0_payload_len_percentile_25,type_0_payload_len_percentile_50,type_0_payload_len_percentile_75,type_0_payload_len_percentile_100,type_0_payload_len_mean,type_8_payload_len_percentile_0,type_8_payload_len_percentile_25,type_8_payload_len_percentile_50,type_8_payload_len_percentile_75,type_8_payload_len_percentile_100,type_8_payload_len_mean,distance_in_ICMP_pair_percentile_0,distance_in_ICMP_pair_percentile_25,distance_in_ICMP_pair_percentile_50,distance_in_ICMP_pair_percentile_75,distance_in_ICMP_pair_percentile_100,distance_in_ICMP_pair_mean,distance_between_type_8_percentile_0,distance_between_type_8_percentile_25,distance_between_type_8_percentile_50,distance_between_type_8_percentile_75,distance_between_type_8_percentile_100,distance_between_type_8_mean,distance_between_type_0_percentile_0,distance_between_type_0_percentile_25,distance_between_type_0_percentile_50,distance_between_type_0_percentile_75,distance_between_type_0_percentile_100,distance_between_type_0_mean,label
0.5,0.0,0.5,2,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.23121387283236994,0.0,0.7687861271676301,133,5.0,5.0,57.0,68.5,108.0,43.55,5.0,5.0,5.0,5.0,661.0,27.142857142857142,0.0,0.0,0.0,0.0,104.0,11.736842105263158,0.0,0.0,0.0,1.0,626.0,27.348484848484848,0.0,0.0,37.0,46.0,104.0,33.8974358974359,1
0.5892857142857143,0.0,0.4107142857142857,115,5.0,5.0,5.0,57.0,654.0,42.339393939393936,5.0,5.0,5.0,57.0,80.0,24.991304347826087,0.0,0.0,0.0,0.0,737.0,33.87826086956522,0.0,0.0,1.0,24.25,76.0,15.280701754385966,0.0,0.0,12.0,51.0,623.0,38.18292682926829,0
0.49851632047477745,0.0,0.5014836795252225,169,9.0,18.0,18.0,18.0,18.0,17.946428571428573,0.0,0.0,0.0,0.0,64.0,2.195266272189349,0.0,0.0,0.0,0.0,64.0,2.195266272189349,38.0,40.0,48.0,59.0,60.0,49.0,0.0,0.0,0.0,0.0,18.0,0.2155688622754491,0
0.5,0.0,0.5,934,30.0,86.0,86.0,86.0,86.0,85.88008565310493,30.0,86.0,86.0,86.0,86.0,85.88008565310493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,76.0,36.69024651661308,0.0,0.0,0.0,74.0,76.0,36.69024651661308,1
0.19,0.0,0.8,160,5.0,5.0,5.0,125.0,133.0,55.63157894736842,5.0,5.0,5.0,5.0,1472.0,51.4625,0.0,0.0,0.0,0.0,129.0,9.717791411042946,0.0,0.0,1.0,1.0,1422.0,65.52201257861635,0.0,0.0,73.0,82.0,129.0,52.83783783783784,1
0.6666666666666666,0.0,0.3333333333333333,279,23.0,25.0,54.0,68.0,102.0,50.1415770609319,23.0,23.0,68.0,68.0,87.0,54.64874551971326,0.0,0.0,2.0,30.0,113.0,22.627240143369175,4.0,12.0,13.0,56.0,81.0,27.399280575539567,2.0,12.0,13.0,28.0,82.0,21.967684021543985,0
0.588495575221239,0.0,0.40707964601769914,184,5.0,5.0,57.0,58.0,1472.0,52.056390977443606,5.0,5.0,31.0,57.0,156.0,32.06521739130435,0.0,0.0,0.0,0.0,1754.0,40.284946236559136,0.0,0.0,8.0,10.0,109.0,11.333333333333334,0.0,0.0,10.0,30.0,1439.0,46.218867924528304,0
0.6660250240615977,0.0,0.3339749759384023,347,23.0,47.0,58.0,68.0,949.0,59.15173410404624,23.0,61.0,68.0,72.0,88.0,60.544668587896254,0.0,0.0,0.0,55.0,1203.0,34.34293948126801,1.0,12.0,14.0,55.0,82.0,27.164739884393065,2.0,12.0,21.0,32.0,906.0,32.150506512301014,0
0.5936883629191322,0.0,0.40433925049309666,205,5.0,5.0,57.0,93.0,1472.0,66.83720930232558,5.0,5.0,5.0,57.0,1417.0,43.77560975609756,0.0,0.0,0.0,0.0,2086.0,52.297560975609755,0.0,0.0,1.0,44.0,1375.0,42.299019607843135,0.0,0.0,41.0,62.0,1418.0,74.12,0
